sentence,event1,event2,signal,Doc name,Doc ID 
trained,worked,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
build,worked,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
build,planning,plan,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"That experience may provide some lessons for the rebuilding of Haiti, where Article 25 is also planning to help with reconstruction, according to Robin Cross, an architect who is the organization's director of projects."
build,rebuild,plan,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"That experience may provide some lessons for the rebuilding of Haiti, where Article 25 is also planning to help with reconstruction, according to Robin Cross, an architect who is the organization's director of projects."
planning,rebuild,plan,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"That experience may provide some lessons for the rebuilding of Haiti, where Article 25 is also planning to help with reconstruction, according to Robin Cross, an architect who is the organization's director of projects."
kill,said,point,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The important point is that it is n't generally earthquakes that kill people, "" Cross said."""
planning,build,plan,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"CNN : What is the role of architects in planning the rebuilding of Haiti, based on your experience in Pakistan ?"
planning,based,plan,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"CNN : What is the role of architects in planning the rebuilding of Haiti, based on your experience in Pakistan ?"
planning,rebuild,plan,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"CNN : What is the role of architects in planning the rebuilding of Haiti, based on your experience in Pakistan ?"
build,based,plan,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"CNN : What is the role of architects in planning the rebuilding of Haiti, based on your experience in Pakistan ?"
build,rebuild,plan,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"CNN : What is the role of architects in planning the rebuilding of Haiti, based on your experience in Pakistan ?"
based,rebuild,plan,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"CNN : What is the role of architects in planning the rebuilding of Haiti, based on your experience in Pakistan ?"
deliver,trained,point,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"Robin Cross : At this point, the focus is rightly on relief, and the provision of water, food and medical care, the basic life support system....What we wo n't be doing is clogging up that quite strained delivery system with the bricks and mortar of longer-term reconstruction."
deliver,trained,support,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"Robin Cross : At this point, the focus is rightly on relief, and the provision of water, food and medical care, the basic life support system....What we wo n't be doing is clogging up that quite strained delivery system with the bricks and mortar of longer-term reconstruction."
need,planning,point,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But there is going to come a point very shortly when minds need to turn to longer-term construction planning, and that's where architects and engineers have a role to play."
need,turn,point,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But there is going to come a point very shortly when minds need to turn to longer-term construction planning, and that's where architects and engineers have a role to play."
planning,turn,point,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But there is going to come a point very shortly when minds need to turn to longer-term construction planning, and that's where architects and engineers have a role to play."
kill,working,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But the important factor is that it's still ongoing, that we need to be there for the long run....What we were doing there was working with local NGOs [ non-governmental organizations ], particularly with Muslim Aid, to identify the most vulnerable members of the community who could most benefit from our architectural and design skills, and could n't afford to buy in their own construction expertise, and would be most marginalized and vulnerable in the future."
kill,need,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But the important factor is that it's still ongoing, that we need to be there for the long run....What we were doing there was working with local NGOs [ non-governmental organizations ], particularly with Muslim Aid, to identify the most vulnerable members of the community who could most benefit from our architectural and design skills, and could n't afford to buy in their own construction expertise, and would be most marginalized and vulnerable in the future."
kill,afford,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But the important factor is that it's still ongoing, that we need to be there for the long run....What we were doing there was working with local NGOs [ non-governmental organizations ], particularly with Muslim Aid, to identify the most vulnerable members of the community who could most benefit from our architectural and design skills, and could n't afford to buy in their own construction expertise, and would be most marginalized and vulnerable in the future."
working,need,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But the important factor is that it's still ongoing, that we need to be there for the long run....What we were doing there was working with local NGOs [ non-governmental organizations ], particularly with Muslim Aid, to identify the most vulnerable members of the community who could most benefit from our architectural and design skills, and could n't afford to buy in their own construction expertise, and would be most marginalized and vulnerable in the future."
working,afford,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But the important factor is that it's still ongoing, that we need to be there for the long run....What we were doing there was working with local NGOs [ non-governmental organizations ], particularly with Muslim Aid, to identify the most vulnerable members of the community who could most benefit from our architectural and design skills, and could n't afford to buy in their own construction expertise, and would be most marginalized and vulnerable in the future."
need,afford,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But the important factor is that it's still ongoing, that we need to be there for the long run....What we were doing there was working with local NGOs [ non-governmental organizations ], particularly with Muslim Aid, to identify the most vulnerable members of the community who could most benefit from our architectural and design skills, and could n't afford to buy in their own construction expertise, and would be most marginalized and vulnerable in the future."
kill,tend,demand,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a disaster there's an enormous demand for reconstruction, a demand for materials, designers, particularly builders -- so they will tend to be drawn very rapidly into high-value commercial work, which could leave less financially strong people without access to building skills."
kill,build,demand,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a disaster there's an enormous demand for reconstruction, a demand for materials, designers, particularly builders -- so they will tend to be drawn very rapidly into high-value commercial work, which could leave less financially strong people without access to building skills."
tend,build,demand,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a disaster there's an enormous demand for reconstruction, a demand for materials, designers, particularly builders -- so they will tend to be drawn very rapidly into high-value commercial work, which could leave less financially strong people without access to building skills."
dissipated,build,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"What that generates is a design which flexes when the earthquake strikes, the energy of the earthquake is dissipated through the many framing elements of the building, and the energy is lost in the friction between the timber and the stone infill....A concrete-block building which is n't able to flex is more apt to collapse...."
dissipated,lost,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"What that generates is a design which flexes when the earthquake strikes, the energy of the earthquake is dissipated through the many framing elements of the building, and the energy is lost in the friction between the timber and the stone infill....A concrete-block building which is n't able to flex is more apt to collapse...."
build,lost,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"What that generates is a design which flexes when the earthquake strikes, the energy of the earthquake is dissipated through the many framing elements of the building, and the energy is lost in the friction between the timber and the stone infill....A concrete-block building which is n't able to flex is more apt to collapse...."
kill,need,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"So when we go to Haiti, the first thing we will do will be to carry out participation workshops with the local communities, to carry out a needs assessment but also a skills assessment... so we design the right buildings, appropriate to the materials available and the skills that are present."
kill,build,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"So when we go to Haiti, the first thing we will do will be to carry out participation workshops with the local communities, to carry out a needs assessment but also a skills assessment... so we design the right buildings, appropriate to the materials available and the skills that are present."
need,build,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"So when we go to Haiti, the first thing we will do will be to carry out participation workshops with the local communities, to carry out a needs assessment but also a skills assessment... so we design the right buildings, appropriate to the materials available and the skills that are present."
need,falls,point,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The funding for short-term relief is good and is needed, but very often at the point of about a year, that funding just falls off a cliff."
need,needed,point,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The funding for short-term relief is good and is needed, but very often at the point of about a year, that funding just falls off a cliff."
falls,needed,point,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The funding for short-term relief is good and is needed, but very often at the point of about a year, that funding just falls off a cliff."
want,wanted,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"I wanted to look away, but they did n't let me."
want,look,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"I wanted to look away, but they did n't let me."
wanted,look,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"I wanted to look away, but they did n't let me."
want,started,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
want,crying,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
want,told,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
want,said,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
want,wanted,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
started,crying,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
started,told,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
started,said,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
started,wanted,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
crying,told,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
crying,said,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
crying,wanted,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
told,said,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
told,wanted,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
said,wanted,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
want,said,want,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"I want to tell the story so that in the near future, other girls do n't go through the same, "" Maria said."""
using,magnified,ideal,2010.01.08.facebook.bra.color.tml,2010.01.08.facebook.bra.color,"It's an ideal example of how an individual voice can be magnified to create awareness for a good cause and ignite action among millions by using a site like Facebook. """
fall,blocked,try,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
fall,tried,try,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
fall,falling,try,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
blocked,tried,try,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
blocked,falling,try,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
tried,falling,try,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
prepared,sent,prepare,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"At the Pentagon, the U.S. military said humanitarian aid was being prepared for shipping, but it was not yet clear where or how it would be sent."
prepared,said,prepare,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"At the Pentagon, the U.S. military said humanitarian aid was being prepared for shipping, but it was not yet clear where or how it would be sent."
sent,said,prepare,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"At the Pentagon, the U.S. military said humanitarian aid was being prepared for shipping, but it was not yet clear where or how it would be sent."
growing,decide,demand,2010.01.07.water.justice.tml,2010.01.07.water.justice,"The reality is that there is more demand than supply, and the increase in demand and decrease in supply is growing, so it makes a big difference how we're going to decide who's going to allocate water. """
growing,decide,decide,2010.01.07.water.justice.tml,2010.01.07.water.justice,"The reality is that there is more demand than supply, and the increase in demand and decrease in supply is growing, so it makes a big difference how we're going to decide who's going to allocate water. """
decide,said,decide,2010.01.07.water.justice.tml,2010.01.07.water.justice,"Gerard Payen said, "" The government has to decide who should bear this cost."
delivering,reported,aim,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"By mass producing and delivering these modern arms, Iran's department of defense aims to increase its ground and air defenses, the semi-official Fars news agency reported."
toppled,marking,mark,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The announcement of new missile production coincided with a 10-day period marking the 31st anniversary of the 1979 Islamic revolution that toppled the U.S. - backed shah."""
toppled,coincided,mark,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The announcement of new missile production coincided with a 10-day period marking the 31st anniversary of the 1979 Islamic revolution that toppled the U.S. - backed shah."""
marking,coincided,mark,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The announcement of new missile production coincided with a 10-day period marking the 31st anniversary of the 1979 Islamic revolution that toppled the U.S. - backed shah."""
suspects,says,try,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The West suspects Iran of trying to build nuclear bombs, but Iran says its program is for peaceful power generation."
suspects,build,try,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The West suspects Iran of trying to build nuclear bombs, but Iran says its program is for peaceful power generation."
says,build,try,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The West suspects Iran of trying to build nuclear bombs, but Iran says its program is for peaceful power generation."
proposed,believes,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
proposed,build,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
proposed,use,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
proposed,plans,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
proposed,said,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
proposed,reached,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
believes,build,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
believes,use,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
believes,plans,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
believes,said,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
believes,reached,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,use,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,plans,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,said,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,reached,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
use,plans,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
use,said,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
use,reached,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
plans,said,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
plans,reached,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,reached,propose,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
proposed,believes,demand,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
proposed,build,demand,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
proposed,use,demand,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
proposed,plans,demand,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
proposed,said,demand,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
proposed,reached,demand,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
believes,build,demand,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
believes,use,demand,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
