event1,eid1,event2,eid2,signal,Doc name,Doc ID ,sentence
conducted,e34,said,e33,have,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
conducted,e34,traveled,e37,have,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
said,e33,traveled,e37,have,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
issued,e56,allow,e55,by,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,British legal rules allow arrest warrants to be issued by a court independent of ministerial approval.
issued,e56,allow,e55,by ,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,British legal rules allow arrest warrants to be issued by a court independent of ministerial approval.
take,e6,asked,e5,as,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"I've been asked a lot of questions since the announcement that I will take over as anchor of CNN's "" State of the Union. """
take,e6,asked,e5,since,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"I've been asked a lot of questions since the announcement that I will take over as anchor of CNN's "" State of the Union. """
take,e6,asked,e5,since ,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"I've been asked a lot of questions since the announcement that I will take over as anchor of CNN's "" State of the Union. """
take,e6,asked,e5,as ,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"I've been asked a lot of questions since the announcement that I will take over as anchor of CNN's "" State of the Union. """
take,e6,asked,e5,have,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"I've been asked a lot of questions since the announcement that I will take over as anchor of CNN's "" State of the Union. """
knew,e13,loved,e11,by,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"I did it like millions and millions of other parents who play the minute-by-minute juggling act : not perfectly, but I loved them above all else and did the best I knew how."
thinks,e34,come,e36,so,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"My first and only guest this week : Secretary of State Hillary Clinton on the biggest threats to Americans, and whether she really thinks the current Afghan government can pull it together so U.S. troops can come home."
thinks,e34,pull,e35,so,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"My first and only guest this week : Secretary of State Hillary Clinton on the biggest threats to Americans, and whether she really thinks the current Afghan government can pull it together so U.S. troops can come home."
come,e36,pull,e35,so,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"My first and only guest this week : Secretary of State Hillary Clinton on the biggest threats to Americans, and whether she really thinks the current Afghan government can pull it together so U.S. troops can come home."
thinks,e34,come,e36,so ,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"My first and only guest this week : Secretary of State Hillary Clinton on the biggest threats to Americans, and whether she really thinks the current Afghan government can pull it together so U.S. troops can come home."
thinks,e34,pull,e35,so ,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"My first and only guest this week : Secretary of State Hillary Clinton on the biggest threats to Americans, and whether she really thinks the current Afghan government can pull it together so U.S. troops can come home."
come,e36,pull,e35,so ,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"My first and only guest this week : Secretary of State Hillary Clinton on the biggest threats to Americans, and whether she really thinks the current Afghan government can pull it together so U.S. troops can come home."
killed,e2,helped,e4,from,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
killed,e2,rebuild,e5,from,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
killed,e2,centered,e1,from,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
killed,e2,based,e3,from,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
helped,e4,rebuild,e5,from,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
helped,e4,centered,e1,from,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
helped,e4,based,e3,from,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
rebuild,e5,centered,e1,from,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
rebuild,e5,based,e3,from,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
centered,e1,based,e3,from,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
killed,e2,helped,e4,start,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
killed,e2,rebuild,e5,start,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
killed,e2,centered,e1,start,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
killed,e2,based,e3,start,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
helped,e4,rebuild,e5,start,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
helped,e4,centered,e1,start,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
helped,e4,based,e3,start,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
rebuild,e5,centered,e1,start,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
rebuild,e5,based,e3,start,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
centered,e1,based,e3,start,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
turn,e40,need,e39,have,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But there is going to come a point very shortly when minds need to turn to longer-term construction planning, and that's where architects and engineers have a role to play."
afford,e48,working,e44,from,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But the important factor is that it's still ongoing, that we need to be there for the long run....What we were doing there was working with local NGOs [ non-governmental organizations ], particularly with Muslim Aid, to identify the most vulnerable members of the community who could most benefit from our architectural and design skills, and could n't afford to buy in their own construction expertise, and would be most marginalized and vulnerable in the future."
put,e53,built,e55,make,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"We put people in the field to provide quality assurance, to make sure that the buildings that were built would be earthquake-resistant."
adapted,e71,make,e73,make,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,We adapted it and improved its details to make it more earthquake-resistant....CNN : How much do these houses cost ?
adapted,e71,improved,e72,make,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,We adapted it and improved its details to make it more earthquake-resistant....CNN : How much do these houses cost ?
make,e73,improved,e72,make,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,We adapted it and improved its details to make it more earthquake-resistant....CNN : How much do these houses cost ?
rendered,e80,infilled,e79,make,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"Cross : It's made of lightweight timber frame with many cross-facing elements, and the gaps between cross-facing elements are infilled with stones and mud and then rendered over with mud."
rendered,e80,made,e78,make,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"Cross : It's made of lightweight timber frame with many cross-facing elements, and the gaps between cross-facing elements are infilled with stones and mud and then rendered over with mud."
infilled,e79,made,e78,make,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"Cross : It's made of lightweight timber frame with many cross-facing elements, and the gaps between cross-facing elements are infilled with stones and mud and then rendered over with mud."
lost,e84,dissipated,e83,generate,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"What that generates is a design which flexes when the earthquake strikes, the energy of the earthquake is dissipated through the many framing elements of the building, and the energy is lost in the friction between the timber and the stone infill....A concrete-block building which is n't able to flex is more apt to collapse...."
saw,e93,built,e95,have,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake."
saw,e93,shared,e94,have,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake."
saw,e93,proved,e96,have,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake."
built,e95,shared,e94,have,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake."
built,e95,proved,e96,have,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake."
shared,e94,proved,e96,have,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake."
held,e2,enslaved,e1,by,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even before her 18th birthday, Maria had already been enslaved by a gang of human traffickers and held in captivity for four months in her homeland of Mexico."
held,e2,enslaved,e1,by ,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even before her 18th birthday, Maria had already been enslaved by a gang of human traffickers and held in captivity for four months in her homeland of Mexico."
held,e2,enslaved,e1,have,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even before her 18th birthday, Maria had already been enslaved by a gang of human traffickers and held in captivity for four months in her homeland of Mexico."
witnessed,e3,forced,e6,force,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
witnessed,e3,drugged,e5,force,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
witnessed,e3,recalls,e4,force,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
witnessed,e3,murdered,e7,force,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
forced,e6,drugged,e5,force,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
forced,e6,recalls,e4,force,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
forced,e6,murdered,e7,force,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
drugged,e5,recalls,e4,force,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
drugged,e5,murdered,e7,force,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
recalls,e4,murdered,e7,force,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
escape,e9,makes,e8,so,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,What makes Maria's story so special is that she was one of the lucky ones who were able to escape.
escape,e9,makes,e8,so ,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,What makes Maria's story so special is that she was one of the lucky ones who were able to escape.
escape,e9,makes,e8,make,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,What makes Maria's story so special is that she was one of the lucky ones who were able to escape.
got,e19,happened,e20,have,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"There's no trace of them and their mothers and families of these girls -- they have n't got a clue what's happened to them. """
got,e19,happened,e20,get,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"There's no trace of them and their mothers and families of these girls -- they have n't got a clue what's happened to them. """
described,e21,promised,e23,by,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
described,e21,delivered,e24,by,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
described,e21,lured,e22,by,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
promised,e23,delivered,e24,by,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
promised,e23,lured,e22,by,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
delivered,e24,lured,e22,by,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
described,e21,promised,e23,by ,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
described,e21,delivered,e24,by ,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
described,e21,lured,e22,by ,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
promised,e23,delivered,e24,by ,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
promised,e23,lured,e22,by ,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
delivered,e24,lured,e22,by ,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
said,e31,pouring,e30,start,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"They took a gallon of gasoline and started pouring it over a girl, "" Maria said."""
said,e31,started,e29,start,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"They took a gallon of gasoline and started pouring it over a girl, "" Maria said."""
said,e31,took,e28,start,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"They took a gallon of gasoline and started pouring it over a girl, "" Maria said."""
pouring,e30,started,e29,start,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"They took a gallon of gasoline and started pouring it over a girl, "" Maria said."""
pouring,e30,took,e28,start,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"They took a gallon of gasoline and started pouring it over a girl, "" Maria said."""
started,e29,took,e28,start,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"They took a gallon of gasoline and started pouring it over a girl, "" Maria said."""
told,e32,say,e34,as,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"One of the men told me if you do n't do as I say I will do the same to you."""
told,e32,say,e34,as ,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"One of the men told me if you do n't do as I say I will do the same to you."""
enjoying,e43,kept,e39,as,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
enjoying,e43,laughing,e41,as,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
enjoying,e43,hitting,e40,as,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
kept,e39,laughing,e41,as,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
kept,e39,hitting,e40,as,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
