,w,eid1,event2,eid2,signal,annotation ,Doc name,Doc ID,sentence,annotation
79,said,e4,had,e38,have,0,wsj_0325.tml,WSJ891101-0039,"The Los Angeles thrift holding company said it had a loss of $92.2 million, or $6.98 a share, for the quarter ended Sept. 30. ",
80,restated,e8,results,e41,have,0,wsj_0325.tml,WSJ891101-0039,The year-ago results  have  been restated  to comply with government regulations.,
81,restated,e8,comply,e9,have,0,wsj_0325.tml,WSJ891101-0039,The year-ago results  have  been restated  to comply with government regulations.,
82,restated,e8,regulations,e42,have,0,wsj_0325.tml,WSJ891101-0039,The year-ago results  have  been restated  to comply with government regulations.,
83,results,e41,comply,e9,have,0,wsj_0325.tml,WSJ891101-0039,The year-ago results  have  been restated  to comply with government regulations.,
84,results,e41,regulations,e42,have,0,wsj_0325.tml,WSJ891101-0039,The year-ago results  have  been restated  to comply with government regulations.,
85,comply,e9,regulations,e42,have,0,wsj_0325.tml,WSJ891101-0039,The year-ago results  have  been restated  to comply with government regulations.,
86,commencing,e17,removing,e13,from,0,wsj_0325.tml,WSJ891101-0039,"It includes removing $242 million in good will from the books, issuing $150 million in preferred stock and commencing an exchange offer for $52 million in convertible bonds.    ",
87,commencing,e17,offer,e45,from,0,wsj_0325.tml,WSJ891101-0039,"It includes removing $242 million in good will from the books, issuing $150 million in preferred stock and commencing an exchange offer for $52 million in convertible bonds.    ",
88,commencing,e17,issuing,e15,from,0,wsj_0325.tml,WSJ891101-0039,"It includes removing $242 million in good will from the books, issuing $150 million in preferred stock and commencing an exchange offer for $52 million in convertible bonds.    ",
89,removing,e13,offer,e45,from,0,wsj_0325.tml,WSJ891101-0039,"It includes removing $242 million in good will from the books, issuing $150 million in preferred stock and commencing an exchange offer for $52 million in convertible bonds.    ",
90,removing,e13,issuing,e15,from,0,wsj_0325.tml,WSJ891101-0039,"It includes removing $242 million in good will from the books, issuing $150 million in preferred stock and commencing an exchange offer for $52 million in convertible bonds.    ",
91,offer,e45,issuing,e15,from,0,wsj_0325.tml,WSJ891101-0039,"It includes removing $242 million in good will from the books, issuing $150 million in preferred stock and commencing an exchange offer for $52 million in convertible bonds.    ",
92,said,e25,moves,e26,move,0,wsj_0325.tml,WSJ891101-0039,The company said its junk-bond portfolio after these moves  had  been reduced to less than 1% of assets.,
93,said,e25,reduced,e28,move,0,wsj_0325.tml,WSJ891101-0039,The company said its junk-bond portfolio after these moves  had  been reduced to less than 1% of assets.,
94,moves,e26,reduced,e28,move,1,wsj_0325.tml,WSJ891101-0039,The company said its junk-bond portfolio after these moves  had  been reduced to less than 1% of assets.,
95,said,e25,moves,e26,have,0,wsj_0325.tml,WSJ891101-0039,The company said its junk-bond portfolio after these moves  had  been reduced to less than 1% of assets.,
96,said,e25,reduced,e28,have,0,wsj_0325.tml,WSJ891101-0039,The company said its junk-bond portfolio after these moves  had  been reduced to less than 1% of assets.,
97,moves,e26,reduced,e28,have,0,wsj_0325.tml,WSJ891101-0039,The company said its junk-bond portfolio after these moves  had  been reduced to less than 1% of assets.,
98,said,e14,consolidate,e7,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said. ",
99,said,e14,used,e12,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
100,said,e14,used,e5,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
101,said,e14,said,e1,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
102,said,e14,said,e4,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
103,said,e14,purchase,e10,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
104,said,e14,repurchase,e9,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
105,said,e14,arranged,e2,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
106,consolidate,e7,used,e12,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
107,consolidate,e7,used,e5,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
108,consolidate,e7,said,e1,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
109,consolidate,e7,said,e4,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
110,consolidate,e7,purchase,e10,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
111,consolidate,e7,repurchase,e9,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
112,consolidate,e7,arranged,e2,from,0,wsj_0329.tml,WSJ891101-0035,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",
