,event1,eid1,event2,eid2,signal,annotation,Doc name,Doc ID,sentence
33,killed,e2,based,e3,from,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
34,helped,e4,rebuild,e5,from,1,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
35,helped,e4,centered,e1,from,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
36,helped,e4,based,e3,from,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
37,rebuild,e5,centered,e1,from,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
38,rebuild,e5,based,e3,from,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
39,centered,e1,based,e3,from,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
40,killed,e2,helped,e4,start,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
41,killed,e2,rebuild,e5,start,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
42,killed,e2,centered,e1,start,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
43,killed,e2,based,e3,start,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
44,helped,e4,rebuild,e5,start,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
45,helped,e4,centered,e1,start,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
46,helped,e4,based,e3,start,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
47,rebuild,e5,centered,e1,start,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
48,rebuild,e5,based,e3,start,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
49,centered,e1,based,e3,start,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
50,turn,e40,need,e39,have,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But there is going to come a point very shortly when minds need to turn to longer-term construction planning, and that's where architects and engineers have a role to play."
51,afford,e48,working,e44,from,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But the important factor is that it's still ongoing, that we need to be there for the long run....What we were doing there was working with local NGOs [ non-governmental organizations ], particularly with Muslim Aid, to identify the most vulnerable members of the community who could most benefit from our architectural and design skills, and could n't afford to buy in their own construction expertise, and would be most marginalized and vulnerable in the future."
52,put,e53,built,e55,make,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"We put people in the field to provide quality assurance, to make sure that the buildings that were built would be earthquake-resistant."
53,adapted,e71,make,e73,make,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,We adapted it and improved its details to make it more earthquake-resistant....CNN : How much do these houses cost ?
54,adapted,e71,improved,e72,make,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,We adapted it and improved its details to make it more earthquake-resistant....CNN : How much do these houses cost ?
55,make,e73,improved,e72,make,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,We adapted it and improved its details to make it more earthquake-resistant....CNN : How much do these houses cost ?
56,rendered,e80,infilled,e79,make,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"Cross : It's made of lightweight timber frame with many cross-facing elements, and the gaps between cross-facing elements are infilled with stones and mud and then rendered over with mud."
57,rendered,e80,made,e78,make,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"Cross : It's made of lightweight timber frame with many cross-facing elements, and the gaps between cross-facing elements are infilled with stones and mud and then rendered over with mud."
58,infilled,e79,made,e78,make,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"Cross : It's made of lightweight timber frame with many cross-facing elements, and the gaps between cross-facing elements are infilled with stones and mud and then rendered over with mud."
59,lost,e84,dissipated,e83,generate,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"What that generates is a design which flexes when the earthquake strikes, the energy of the earthquake is dissipated through the many framing elements of the building, and the energy is lost in the friction between the timber and the stone infill....A concrete-block building which is n't able to flex is more apt to collapse...."
60,saw,e93,built,e95,have,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake."
61,saw,e93,shared,e94,have,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake."
62,saw,e93,proved,e96,have,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake."
63,built,e95,shared,e94,have,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake."
64,built,e95,proved,e96,have,1,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake."
65,shared,e94,proved,e96,have,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake."
66,enslaved,e1,held,e2,by,1,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even before her 18th birthday, Maria had already been enslaved by a gang of human traffickers and held in captivity for four months in her homeland of Mexico."
67,held,e2,enslaved,e1,have,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even before her 18th birthday, Maria had already been enslaved by a gang of human traffickers and held in captivity for four months in her homeland of Mexico."
68,witnessed,e3,forced,e6,force,1,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
69,witnessed,e3,drugged,e5,force,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
70,witnessed,e3,recalls,e4,force,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
71,witnessed,e3,murdered,e7,force,1,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
72,forced,e6,drugged,e5,force,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
73,forced,e6,recalls,e4,force,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
74,forced,e6,murdered,e7,force,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
75,drugged,e5,recalls,e4,force,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
76,drugged,e5,murdered,e7,force,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
77,recalls,e4,murdered,e7,force,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered."
78,escape,e9,makes,e8,so,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,What makes Maria's story so special is that she was one of the lucky ones who were able to escape.
79,escape,e9,makes,e8,make,1,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,What makes Maria's story so special is that she was one of the lucky ones who were able to escape.
80,got,e19,happened,e20,have,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"There's no trace of them and their mothers and families of these girls -- they have n't got a clue what's happened to them. """
81,got,e19,happened,e20,get,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"There's no trace of them and their mothers and families of these girls -- they have n't got a clue what's happened to them. """
82,described,e21,promised,e23,by,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
83,described,e21,delivered,e24,by,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
84,described,e21,lured,e22,by,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
85,promised,e23,delivered,e24,by,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
86,promised,e23,lured,e22,by,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
87,delivered,e24,lured,e22,by,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described how at the age of 16 she was lured off the streets by a young man who promised the world, but delivered nothing but pain."
88,said,e31,pouring,e30,start,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"They took a gallon of gasoline and started pouring it over a girl, "" Maria said."""
89,said,e31,started,e29,start,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"They took a gallon of gasoline and started pouring it over a girl, "" Maria said."""
90,said,e31,took,e28,start,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"They took a gallon of gasoline and started pouring it over a girl, "" Maria said."""
91,pouring,e30,started,e29,start,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"They took a gallon of gasoline and started pouring it over a girl, "" Maria said."""
92,pouring,e30,took,e28,start,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"They took a gallon of gasoline and started pouring it over a girl, "" Maria said."""
93,started,e29,took,e28,start,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"They took a gallon of gasoline and started pouring it over a girl, "" Maria said."""
94,told,e32,say,e34,as,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"One of the men told me if you do n't do as I say I will do the same to you."""
95,enjoying,e43,kept,e39,as,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
96,enjoying,e43,laughing,e41,as,1,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
97,enjoying,e43,hitting,e40,as,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
98,kept,e39,laughing,e41,as,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
99,kept,e39,hitting,e40,as,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
100,laughing,e41,hitting,e40,as,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
101,took,e49,stole,e48,from,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
102,took,e49,described,e45,from,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
103,took,e49,look,e50,from,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
104,took,e49,coming,e47,from,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
105,stole,e48,described,e45,from,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
106,stole,e48,look,e50,from,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
107,stole,e48,coming,e47,from,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
108,described,e45,look,e50,from,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
109,described,e45,coming,e47,from,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
110,look,e50,coming,e47,from,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
111,took,e49,stole,e48,have,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
112,took,e49,described,e45,have,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
113,took,e49,look,e50,have,1,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
114,took,e49,coming,e47,have,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
115,stole,e48,described,e45,have,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
116,stole,e48,look,e50,have,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours."""
