,event1,eid1,event2,eid2,signal,annotation ,Doc name,Doc ID,sentence,annotation
21,issue,e15,estimated,e17,warrant,0,wsj_0165.tml,WSJ891102-0026,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. ",
22,issue,e15,exercised,e14,warrant,0,wsj_0165.tml,WSJ891102-0026,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. ",
23,issue,e15,completion,e29,warrant,0,wsj_0165.tml,WSJ891102-0026,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. ",
24,estimated,e17,exercised,e14,warrant,0,wsj_0165.tml,WSJ891102-0026,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. ",
25,estimated,e17,completion,e29,warrant,0,wsj_0165.tml,WSJ891102-0026,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. ",
26,exercised,e14,completion,e29,warrant,0,wsj_0165.tml,WSJ891102-0026,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. ",
27,extension,e29,completed,e34,allow,1,wsj_0159.tml,WSJ891102-0032,DD Acquisition said the extension is to allow this process to be completed.,
28,extension,e29,said,e28,allow,0,wsj_0159.tml,WSJ891102-0032,DD Acquisition said the extension is to allow this process to be completed.,
29,extension,e29,allow,e206,allow,0,wsj_0159.tml,WSJ891102-0032,DD Acquisition said the extension is to allow this process to be completed.,
30,completed,e34,said,e28,allow,0,wsj_0159.tml,WSJ891102-0032,DD Acquisition said the extension is to allow this process to be completed.,
31,completed,e34,allow,e206,allow,0,wsj_0159.tml,WSJ891102-0032,DD Acquisition said the extension is to allow this process to be completed.,
32,said,e28,allow,e206,allow,0,wsj_0159.tml,WSJ891102-0032,DD Acquisition said the extension is to allow this process to be completed.,
33,allow,e41,said,e40,allow,0,wsj_0904.tml,WSJ891026-0155,"Mr. Swavely said the new space will allow Compaq to increase the manufacturing capacity of its plant in Erskine, Scotland.    ",
34,allow,e41,increase,e43,allow,0,wsj_0904.tml,WSJ891026-0155,"Mr. Swavely said the new space will allow Compaq to increase the manufacturing capacity of its plant in Erskine, Scotland.    ",
35,said,e40,increase,e43,allow,0,wsj_0904.tml,WSJ891026-0155,"Mr. Swavely said the new space will allow Compaq to increase the manufacturing capacity of its plant in Erskine, Scotland.    ",
36,buy,e13,entitle,e10,entitle,0,wsj_1031.tml,WSJ891026-0025,"Under certain circumstances, the rights would entitle Philip Morris holders to buy shares of either the company or its acquirer for half price.    ",
37,right,e2000,warrants,e1998,entitle,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
38,right,e2000,entitles,e7,entitle,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
39,right,e2000,buy,e9,entitle,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
40,right,e2000,buy,e8,entitle,1,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
41,warrants,e1998,entitles,e7,entitle,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
42,warrants,e1998,buy,e9,entitle,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
43,warrants,e1998,buy,e8,entitle,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
44,entitles,e7,buy,e9,entitle,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
45,entitles,e7,buy,e8,entitle,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
46,buy,e9,buy,e8,entitle,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
47,right,e2000,warrants,e1998,warrant,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
48,right,e2000,entitles,e7,warrant,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
49,right,e2000,buy,e9,warrant,1,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
50,right,e2000,buy,e8,warrant,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
51,warrants,e1998,entitles,e7,warrant,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
52,warrants,e1998,buy,e9,warrant,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
53,warrants,e1998,buy,e8,warrant,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
54,entitles,e7,buy,e9,warrant,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
55,entitles,e7,buy,e8,warrant,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
56,buy,e9,buy,e8,warrant,0,wsj_0073.tml,WSJ891102-0119,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,
57,buy,e13,price,e29,allow,0,wsj_0924.tml,WSJ891026-0134,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    ",
58,buy,e13,receive,e16,allow,0,wsj_0924.tml,WSJ891026-0134,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    ",
59,buy,e13,triggered,e11,allow,0,wsj_0924.tml,WSJ891026-0134,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    ",
60,buy,e13,allow,e27,allow,0,wsj_0924.tml,WSJ891026-0134,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    ",
61,price,e29,receive,e16,allow,0,wsj_0924.tml,WSJ891026-0134,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    ",
62,price,e29,triggered,e11,allow,0,wsj_0924.tml,WSJ891026-0134,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    ",
63,price,e29,allow,e27,allow,0,wsj_0924.tml,WSJ891026-0134,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    ",
64,receive,e16,triggered,e11,allow,0,wsj_0924.tml,WSJ891026-0134,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    ",
65,receive,e16,allow,e27,allow,0,wsj_0924.tml,WSJ891026-0134,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    ",
66,triggered,e11,allow,e27,allow,0,wsj_0924.tml,WSJ891026-0134,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    ",
67,said,e10,allow,e14,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
68,said,e10,offer,e12,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
69,said,e10,mailed,e19,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
70,said,e10,review,e17,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
71,said,e10,extended,e11,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
72,allow,e14,offer,e12,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
73,allow,e14,mailed,e19,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
74,allow,e14,review,e17,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
75,allow,e14,extended,e11,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
76,offer,e12,mailed,e19,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
77,offer,e12,review,e17,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
78,offer,e12,extended,e11,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
79,mailed,e19,review,e17,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
80,mailed,e19,extended,e11,allow,0,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,
81,extended,e11,review,e17,allow,2,wsj_0542.tml,WSJ891030-0159,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,1.0
82,entitle,e15,offering,e41,entitle,0,wsj_0798.tml,WSJ891027-0097,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share. ",
83,entitle,e15,said,e13,entitle,0,wsj_0798.tml,WSJ891027-0097,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share. ",
84,entitle,e15,subscribe,e17,entitle,0,wsj_0798.tml,WSJ891027-0097,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share. ",
85,offering,e41,said,e13,entitle,0,wsj_0798.tml,WSJ891027-0097,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share. ",
86,offering,e41,subscribe,e17,entitle,1,wsj_0798.tml,WSJ891027-0097,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share. ",
87,said,e13,subscribe,e17,entitle,0,wsj_0798.tml,WSJ891027-0097,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share. ",
88,holds,e24,subscribe,e25,entitle,0,wsj_0798.tml,WSJ891027-0097,"Hudson's Bay said that Woodbridge Co., which currently holds about 77% of the ordinary shares, will subscribe for all the shares to which it is entitled and for any shares that are n't otherwise taken up. ",
89,holds,e24,said,e23,entitle,0,wsj_0798.tml,WSJ891027-0097,"Hudson's Bay said that Woodbridge Co., which currently holds about 77% of the ordinary shares, will subscribe for all the shares to which it is entitled and for any shares that are n't otherwise taken up. ",
90,subscribe,e25,said,e23,entitle,0,wsj_0798.tml,WSJ891027-0097,"Hudson's Bay said that Woodbridge Co., which currently holds about 77% of the ordinary shares, will subscribe for all the shares to which it is entitled and for any shares that are n't otherwise taken up. ",
91,approval,e5,acquire,e9,permit,1,wsj_0713.tml,WSJ891027-0182,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    ",
92,approval,e5,expected,e6,permit,0,wsj_0713.tml,WSJ891027-0182,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    ",
93,approval,e5,permits,e7,permit,0,wsj_0713.tml,WSJ891027-0182,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    ",
94,acquire,e9,expected,e6,permit,0,wsj_0713.tml,WSJ891027-0182,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    ",
95,acquire,e9,permits,e7,permit,0,wsj_0713.tml,WSJ891027-0182,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    ",
96,expected,e6,permits,e7,permit,0,wsj_0713.tml,WSJ891027-0182,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    ",
97,said,e1,declared,e2,warrant,0,wsj_1042.tml,WSJ891026-0014,AVON RENT-A-CAR amp TRUCK Corp. said it declared a dividend of one warrant for each three shares of common stock.,
98,issued,e7,said,e8,warrant,0,wsj_1042.tml,WSJ891026-0014,"About 1.1 million Class C warrants were issued, the company said. ",
99,enable,e10,purchase,e12,enable,0,wsj_1042.tml,WSJ891026-0014,Each of the Class C warrants will enable the holders to purchase one share of common stock at $5.50.,
100,enable,e10,purchase,e12,warrant,0,wsj_1042.tml,WSJ891026-0014,Each of the Class C warrants will enable the holders to purchase one share of common stock at $5.50.,
101,issue,e32,exercised,e14,warrant,0,wsj_1042.tml,WSJ891026-0014,The warrants may be exercised until 90 days after their issue date.,
102,issue,e18,said,e17,warrant,0,wsj_1042.tml,WSJ891026-0014,"Avon also said it will issue an additional 243,677 of the Class C warrants to holders of its Class A, Class B and unclassified warrants. ",
103,authorized,e1,payable,e12,authorize,0,wsj_0752.tml,WSJ891027-0143,"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common, payable Dec. 7 to stock of record Nov. 22. ",
104,authorized,e1,split,e2,authorize,0,wsj_0752.tml,WSJ891027-0143,"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common, payable Dec. 7 to stock of record Nov. 22. ",
105,authorized,e1,record,e3,authorize,0,wsj_0752.tml,WSJ891027-0143,"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common, payable Dec. 7 to stock of record Nov. 22. ",
106,payable,e12,split,e2,authorize,0,wsj_0752.tml,WSJ891027-0143,"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common, payable Dec. 7 to stock of record Nov. 22. ",
107,payable,e12,record,e3,authorize,0,wsj_0752.tml,WSJ891027-0143,"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common, payable Dec. 7 to stock of record Nov. 22. ",
108,split,e2,record,e3,authorize,0,wsj_0752.tml,WSJ891027-0143,"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common, payable Dec. 7 to stock of record Nov. 22. ",
109,provision,e634,seeking,e33,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
110,provision,e634,said,e32,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
111,provision,e634,guidance,e221,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
112,provision,e634,allows,e35,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
113,provision,e634,conference,e220,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
114,provision,e634,embargo,e223,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
115,seeking,e33,said,e32,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
116,seeking,e33,guidance,e221,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
117,seeking,e33,allows,e35,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
118,seeking,e33,conference,e220,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
119,seeking,e33,embargo,e223,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
120,said,e32,guidance,e221,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
121,said,e32,allows,e35,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
122,said,e32,conference,e220,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
123,said,e32,embargo,e223,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
124,guidance,e221,allows,e35,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
125,guidance,e221,conference,e220,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
126,guidance,e221,embargo,e223,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
127,allows,e35,conference,e220,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
128,allows,e35,embargo,e223,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
129,conference,e220,embargo,e223,allow,0,AP900816-0139.tml,AP900816-0139,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   ",
130,authorize,e96,use,e97,authorize,0,AP900816-0139.tml,AP900816-0139,"Bush  was expected  to authorize navalcommanders  to use ``the minimum force necessary''  to interdictshipments to and from Iraq, a U.S. official said. ",
131,authorize,e96,said,e99,authorize,0,AP900816-0139.tml,AP900816-0139,"Bush  was expected  to authorize navalcommanders  to use ``the minimum force necessary''  to interdictshipments to and from Iraq, a U.S. official said. ",
132,authorize,e96,expected,e95,authorize,0,AP900816-0139.tml,AP900816-0139,"Bush  was expected  to authorize navalcommanders  to use ``the minimum force necessary''  to interdictshipments to and from Iraq, a U.S. official said. ",
133,authorize,e96,interdict,e98,authorize,0,AP900816-0139.tml,AP900816-0139,"Bush  was expected  to authorize navalcommanders  to use ``the minimum force necessary''  to interdictshipments to and from Iraq, a U.S. official said. ",
134,use,e97,said,e99,authorize,0,AP900816-0139.tml,AP900816-0139,"Bush  was expected  to authorize navalcommanders  to use ``the minimum force necessary''  to interdictshipments to and from Iraq, a U.S. official said. ",
135,use,e97,expected,e95,authorize,0,AP900816-0139.tml,AP900816-0139,"Bush  was expected  to authorize navalcommanders  to use ``the minimum force necessary''  to interdictshipments to and from Iraq, a U.S. official said. ",
136,use,e97,interdict,e98,authorize,0,AP900816-0139.tml,AP900816-0139,"Bush  was expected  to authorize navalcommanders  to use ``the minimum force necessary''  to interdictshipments to and from Iraq, a U.S. official said. ",
